CustomerID,ReturnCount
C15813,5
C09877,4
C16231,4
C01717,4
C19086,4
C02696,4
C07475,4
C11412,4
C07354,4
C16924,4
C14103,4
C03075,4
C17008,4
C19116,4
C14154,4
C09305,4
C00411,4
C10312,4
C17765,4
C07219,4
C02108,4
C16771,3
C15399,3
C08414,3
C04208,3
C15163,3
C19322,3
C00288,3
C06961,3
C17705,3
C08759,3
C04092,3
C04918,3
C19520,3
C16578,3
C06320,3
C04937,3
C05610,3
C01778,3
C01072,3
C06071,3
C14047,3
C09265,3
C18379,3
C11432,3
C19293,3
C18436,3
C13967,3
C08614,3
C14485,3
C10483,3
C08030,3
C07099,3
C11361,3
C00070,3
C06597,3
C12763,3
C09822,3
C18454,3
C09506,3
C12630,3
C06245,3
C04410,3
C03609,3
C07062,3
C05214,3
C17413,3
C18624,3
C11415,3
C04430,3
C04404,3
C06430,3
C10850,3
C01440,3
C13294,3
C17374,3
C15544,3
C08496,3
C13566,3
C06630,3
C05809,3
C15291,3
C02327,3
C08729,3
C10101,3
C16180,3
C16632,3
C13399,3
C15610,3
C13321,3
C11145,3
C06112,3
C17932,3
C00607,3
C19312,3
C04642,3
C09300,3
C15068,3
C10317,3
C15671,3
C15252,3
C15983,3
C18660,3
C13652,3
C16385,3
C17734,3
C09668,3
C15850,3
C17826,3
C02343,3
C10607,3
C04006,3
C13045,3
C18287,3
C10306,3
C11916,3
C15864,3
C03878,3
C00618,3
C03979,3
C07545,3
C09286,3
C06877,3
C09074,3
C04515,3
C02018,3
C14350,3
C18427,3
C19496,3
C13533,3
C05694,3
C04650,3
C07623,3
C12608,3
C08690,3
C16347,3
C07456,3
C04166,3
C06995,3
C02558,3
C03379,3
C00979,3
C07627,3
C17784,3
C08608,3
C06066,3
C11580,3
C09552,3
C06179,3
C16842,3
C04228,3
C14727,3
C09921,3
C19540,3
C11246,3
C18465,3
C11732,3
C14323,3
C07339,3
C11589,3
C09055,3
C17297,3
C06056,3
C12238,3
C10403,3
C14465,3
C15225,3
C01358,3
C10251,3
C12062,3
C05771,3
C08613,3
C19426,3
C10609,3
C02064,3
C10499,3
C16928,3
C05328,3
C01050,3
C06435,3
C13795,3
C14939,3
C10052,3
C19593,3
C06942,3
C18215,3
C10484,3
C10902,3
C09064,3
C18201,3
C04736,3
C09814,3
C15913,3
C13040,3
C03537,3
C05432,3
C01330,3
C10515,3
C00696,3
C04584,3
C18747,3
C09760,3
C07949,3
C00613,3
C19998,3
C18473,3
C17630,3
C03388,3
C09695,3
C06535,3
C06176,3
C07957,3
C01229,3
C15355,3
